CursorX,CursorY,LeftX,RightX,LeftY,RightY,LeftW,LeftH,RighttW,RightH,Origin_left_X,Origin_left_Y,Origin_right_X,Origin_right_Y
1345,710,281,246,352,250,30.413812651491096,9.219544457292889,30.0,9.0,258,236,329,241
1349,725,281,247,352,250,32.38826948140329,9.055385138137417,31.0,10.0,256,236,329,241
1356,758,282,246,353,250,31.40063693621516,9.219544457292889,30.0,10.0,258,236,330,241
1356,764,282,247,354,250,31.40063693621516,9.055385138137417,30.01666203960727,9.0,258,237,330,242
1356,764,282,247,354,251,31.40063693621516,9.055385138137417,30.0,9.0,258,237,330,243
1356,764,282,247,353,251,30.413812651491096,9.055385138137417,30.01666203960727,10.0,259,237,330,242
1356,764,282,247,354,251,31.57530680769389,10.04987562112089,30.0,9.0,258,236,331,242
1356,764,283,247,354,251,30.413812651491096,8.06225774829855,29.0,9.0,259,237,331,242
1356,764,283,248,354,252,30.26549190084311,9.055385138137417,30.0,9.0,260,238,330,243
1356,764,283,246,354,250,30.413812651491096,9.055385138137417,29.017236257093817,9.0,260,236,331,241
1349,758,283,247,354,252,31.40063693621516,9.055385138137417,29.0,10.0,259,237,331,242
1341,756,283,247,355,251,30.413812651491096,9.219544457292889,30.0,10.0,260,236,332,242
1341,756,283,246,354,250,31.40063693621516,8.246211251235321,30.0,10.0,259,236,331,241
1341,756,283,247,355,251,31.256999216175565,9.055385138137417,30.0,9.0,259,237,331,242
1341,756,283,248,354,252,30.26549190084311,9.055385138137417,29.017236257093817,9.0,260,238,331,242
1341,756,283,246,355,251,30.26549190084311,9.055385138137417,30.0,9.0,260,237,331,242
1341,756,283,247,354,250,31.40063693621516,9.055385138137417,30.0,11.0,259,236,331,241
1341,756,283,247,354,252,31.40063693621516,9.055385138137417,30.0,10.0,259,236,331,242
1341,756,284,247,354,251,31.40063693621516,9.055385138137417,30.01666203960727,10.0,260,237,331,242
1341,756,283,246,355,251,31.40063693621516,9.055385138137417,30.0,9.0,259,236,332,242
1341,756,283,246,355,251,31.256999216175565,9.055385138137417,30.01666203960727,9.0,259,236,331,242
1341,756,283,246,355,251,30.413812651491096,8.06225774829855,29.0,9.055385138137417,260,236,332,242
1341,756,283,246,354,251,31.40063693621516,8.06225774829855,30.0,9.0,259,236,331,242
1341,756,283,246,355,251,31.40063693621516,8.246211251235321,30.0,9.0,259,236,331,242
1341,756,283,246,354,251,31.57530680769389,9.055385138137417,30.0,10.04987562112089,259,235,331,242
1341,756,283,247,354,252,31.40063693621516,9.055385138137417,29.017236257093817,10.0,259,237,331,242
1341,756,282,247,354,251,30.413812651491096,9.219544457292889,30.0,9.0,259,236,330,242
1341,756,283,247,354,250,31.40063693621516,9.219544457292889,30.0,9.0,259,237,331,242
1341,756,283,246,354,250,31.40063693621516,9.055385138137417,30.0,10.0,259,236,331,241
1341,756,283,246,355,251,31.40063693621516,9.055385138137417,30.0,9.0,259,236,331,242
1341,756,283,247,355,251,31.57530680769389,9.055385138137417,31.0,9.0,259,236,331,242
1341,756,283,246,355,251,31.40063693621516,9.055385138137417,30.0,9.0,259,236,331,242
1341,756,283,246,355,251,31.40063693621516,9.055385138137417,30.0,9.0,259,236,331,242
1341,756,283,247,349,252,32.38826948140329,9.219544457292889,30.0,10.0,258,236,331,242
1341,756,284,247,355,251,32.38826948140329,9.055385138137417,30.0,10.0,259,237,331,242
1341,756,283,246,355,251,31.40063693621516,8.06225774829855,30.0,9.0,259,236,331,242
1296,763,283,247,355,251,31.57530680769389,9.055385138137417,30.01666203960727,10.0,259,237,332,242
1141,766,283,247,355,251,31.40063693621516,9.219544457292889,30.0,10.0,259,236,331,242
1062,766,283,247,349,252,32.55764119219941,9.219544457292889,30.0,10.0,258,236,331,242
961,757,283,247,353,252,31.40063693621516,9.219544457292889,30.0,10.0,259,237,331,242
864,753,282,247,354,251,31.40063693621516,9.055385138137417,30.0,9.0,259,237,330,242
784,749,281,247,352,252,31.256999216175565,8.06225774829855,30.01666203960727,8.0,257,238,330,243
738,749,281,247,346,252,30.26549190084311,9.055385138137417,29.0,9.0,258,238,329,243
650,757,279,247,349,251,30.413812651491096,8.06225774829855,29.0,9.0,256,237,328,242
554,767,277,247,343,252,31.256999216175565,9.219544457292889,30.0,9.0,254,238,326,243
480,766,275,247,342,251,31.40063693621516,8.246211251235321,31.016124838541643,9.0,252,237,324,242
454,761,274,247,340,252,30.413812651491096,9.219544457292889,31.016124838541643,10.0,252,237,323,242
452,760,271,247,338,251,30.413812651491096,8.246211251235321,31.0,9.0,249,238,321,242
452,760,269,247,336,251,30.413812651491096,9.219544457292889,30.0,9.0,247,237,319,242
379,750,267,247,334,251,31.40063693621516,9.219544457292889,31.0,10.0,245,237,317,242
250,729,267,247,333,251,31.40063693621516,8.06225774829855,30.0,9.0,245,238,317,242
155,736,268,248,334,252,30.413812651491096,9.219544457292889,30.0,10.0,246,238,318,243
85,746,267,247,334,252,31.40063693621516,8.246211251235321,30.0,10.0,245,237,318,242
33,756,264,247,331,252,30.413812651491096,8.246211251235321,30.0,9.0,242,238,315,243
0,762,262,248,327,252,30.26549190084311,9.219544457292889,31.016124838541643,9.0,240,238,311,243
0,762,260,248,326,252,29.27456233660889,8.06225774829855,29.0,8.0,239,238,310,243
0,758,259,248,325,253,30.26549190084311,8.246211251235321,31.016124838541643,9.0,237,239,308,244
