CursorX,CursorY,LeftX,RightX,LeftY,RightY,LeftW,LeftH,RighttW,RightH
10,14,269,222,342,225,30.59411708155671,11.045361017187261,33.24154027718932,12.165525060596437
10,14,269,221,343,225,31.57530680769389,12.165525060596437,33.24154027718932,12.165525060596437
10,14,270,222,344,224,31.57530680769389,11.045361017187261,34.23448553724738,12.041594578792294
10,14,269,221,342,224,30.59411708155671,11.180339887498947,33.13608305156178,12.041594578792294
10,14,270,221,343,224,31.57530680769389,12.165525060596437,33.24154027718932,13.038404810405298
10,14,270,219,342,224,31.57530680769389,11.045361017187261,33.24154027718932,12.165525060596437
10,14,266,222,340,225,31.57530680769389,10.04987562112089,32.14031735997639,11.045361017187261
10,14,268,221,341,225,30.26549190084311,9.055385138137417,32.0624390837628,10.04987562112089
10,14,268,221,341,225,30.59411708155671,10.04987562112089,32.14031735997639,11.045361017187261
10,14,267,221,341,224,30.413812651491096,9.055385138137417,32.0624390837628,11.045361017187261
10,14,267,221,341,224,31.40063693621516,10.04987562112089,32.14031735997639,11.045361017187261
10,14,266,221,340,224,31.40063693621516,10.04987562112089,32.2490309931942,11.180339887498947
10,14,268,221,340,224,31.40063693621516,10.04987562112089,32.14031735997639,11.045361017187261
10,14,268,220,340,224,32.55764119219941,11.180339887498947,34.23448553724738,12.041594578792294
10,14,266,219,340,224,31.57530680769389,10.19803902718557,32.14031735997639,11.045361017187261
10,14,268,219,340,224,31.57530680769389,11.180339887498947,33.24154027718932,12.041594578792294
10,14,267,219,340,223,31.40063693621516,11.180339887498947,33.24154027718932,12.041594578792294
10,14,266,219,340,224,31.57530680769389,12.165525060596437,33.13608305156178,12.041594578792294
10,14,265,222,340,225,29.27456233660889,10.04987562112089,32.14031735997639,10.04987562112089
10,14,266,221,340,224,30.413812651491096,10.04987562112089,32.14031735997639,10.04987562112089
10,14,266,220,340,224,30.59411708155671,11.045361017187261,33.13608305156178,10.04987562112089
10,14,266,220,340,223,31.40063693621516,11.045361017187261,33.13608305156178,12.165525060596437
10,14,267,222,341,224,31.40063693621516,11.045361017187261,33.060550509633075,11.0
10,14,266,221,341,224,31.40063693621516,10.04987562112089,32.14031735997639,10.04987562112089
10,14,268,224,343,226,29.27456233660889,10.04987562112089,32.0624390837628,10.04987562112089
10,14,264,221,339,223,30.413812651491096,9.055385138137417,33.13608305156178,10.04987562112089
10,14,267,222,340,225,31.57530680769389,11.045361017187261,33.24154027718932,11.045361017187261
10,14,264,221,338,224,30.413812651491096,11.045361017187261,33.24154027718932,11.045361017187261
10,14,264,222,338,224,30.413812651491096,10.19803902718557,33.24154027718932,11.045361017187261
10,14,263,221,337,223,31.40063693621516,11.045361017187261,33.24154027718932,12.165525060596437
10,14,263,220,337,223,31.40063693621516,11.180339887498947,32.2490309931942,11.180339887498947
10,14,264,221,338,224,31.40063693621516,10.19803902718557,32.2490309931942,11.045361017187261
10,14,265,220,338,223,30.413812651491096,11.045361017187261,33.24154027718932,12.041594578792294
10,14,266,221,339,224,31.40063693621516,10.19803902718557,32.14031735997639,11.045361017187261
10,14,263,219,337,222,31.40063693621516,11.180339887498947,33.24154027718932,11.045361017187261
10,14,264,220,338,224,30.413812651491096,11.045361017187261,33.24154027718932,11.045361017187261
10,14,268,217,343,223,32.55764119219941,11.045361017187261,34.23448553724738,12.041594578792294
10,14,265,221,338,223,32.38826948140329,11.180339887498947,34.23448553724738,12.041594578792294
10,14,265,220,339,225,31.780497164141405,11.045361017187261,33.24154027718932,12.041594578792294
10,14,264,224,338,227,29.27456233660889,9.055385138137417,31.064449134018133,9.055385138137417
10,14,263,220,339,225,31.40063693621516,10.19803902718557,33.13608305156178,11.045361017187261
10,14,265,221,339,227,30.413812651491096,10.04987562112089,33.13608305156178,11.045361017187261
10,14,266,210,341,216,30.413812651491096,10.04987562112089,33.13608305156178,10.04987562112089
10,14,267,209,341,213,31.57530680769389,11.180339887498947,34.23448553724738,12.165525060596437
10,14,268,217,341,222,31.57530680769389,11.045361017187261,33.13608305156178,12.041594578792294
10,14,267,217,340,222,31.57530680769389,11.180339887498947,33.37663853655727,12.041594578792294
10,14,266,217,339,221,31.57530680769389,12.165525060596437,34.36568055487917,12.041594578792294
10,14,266,219,337,221,31.40063693621516,12.165525060596437,33.24154027718932,12.041594578792294
10,14,264,219,339,221,31.40063693621516,11.180339887498947,33.37663853655727,12.041594578792294
10,14,264,216,339,219,31.57530680769389,11.180339887498947,34.36568055487917,13.152946437965904
10,14,263,215,339,219,31.40063693621516,10.04987562112089,33.24154027718932,12.041594578792294
10,14,265,215,339,220,31.57530680769389,11.180339887498947,34.23448553724738,13.038404810405298
10,14,265,216,339,220,33.54101966249684,11.180339887498947,34.36568055487917,11.180339887498947
10,14,265,216,338,220,31.57530680769389,12.041594578792294,33.37663853655727,12.041594578792294
10,14,264,218,337,220,31.40063693621516,10.04987562112089,33.24154027718932,11.045361017187261
10,14,263,217,339,221,31.57530680769389,11.045361017187261,32.2490309931942,12.041594578792294
10,14,267,217,341,222,31.57530680769389,11.045361017187261,33.13608305156178,12.041594578792294
10,14,267,219,342,221,31.57530680769389,10.04987562112089,34.23448553724738,11.045361017187261
10,14,269,218,343,222,31.57530680769389,12.165525060596437,34.132096331752024,12.041594578792294
10,14,267,220,343,225,30.59411708155671,9.055385138137417,33.13608305156178,11.045361017187261
10,14,269,218,342,225,30.59411708155671,10.19803902718557,33.13608305156178,11.0
10,14,269,219,343,225,30.59411708155671,11.045361017187261,34.132096331752024,12.041594578792294
10,14,269,217,343,224,31.40063693621516,10.19803902718557,33.060550509633075,12.041594578792294
10,14,276,210,349,219,32.01562118716424,11.180339887498947,34.0147027033899,12.0
10,14,277,208,349,218,31.04834939252005,10.19803902718557,34.0147027033899,10.0
10,14,275,205,348,216,30.083217912982647,11.180339887498947,33.015148038438355,11.0
10,14,274,206,346,215,30.80584360149873,11.045361017187261,33.060550509633075,12.041594578792294
10,14,270,207,344,214,30.80584360149873,12.165525060596437,33.13608305156178,12.0
10,14,270,207,342,214,29.61418578992169,11.180339887498947,33.24154027718932,11.045361017187261
10,14,269,208,341,213,29.427877939124325,10.04987562112089,32.2490309931942,11.045361017187261
10,14,271,208,343,213,29.427877939124325,10.19803902718557,32.14031735997639,11.045361017187261
10,14,271,209,342,213,29.427877939124325,10.04987562112089,31.144823004794876,10.04987562112089
